3,4,is parent
5,6,is parent
9,10,is parent
10,11,is parent
11,12,is parent
12,13,is parent
13,14,is parent
14,15,is parent
16,17,is parent
17,18,is parent
18,19,is parent
19,20,is parent
22,23,is parent
23,24,is parent
25,26,is parent
27,28,is parent
28,29,is parent
29,30,is parent
30,31,is parent
31,32,is parent
32,33,is parent
33,34,is parent
35,36,is parent
36,37,is parent
37,38,is parent
38,39,is parent
39,40,is parent
40,41,is parent
41,42,is parent
42,43,is parent
43,44,is parent
44,45,is parent
45,46,is parent
46,47,is parent
48,49,is parent
48,49,is parent
49,50,is parent
50,51,is parent
50,51,is parent
54,55,is parent
54,55,is parent
54,55,is parent
55,56,is parent
55,56,is parent
56,57,is parent
57,58,is parent
57,58,is parent
57,58,is parent
58,59,is parent
58,60,is parent
61,62,is parent
61,63,is parent
62,63,is parent
63,64,is parent
65,66,is parent
65,67,is parent
66,67,is parent
67,68,is parent
67,69,is parent
68,70,is parent
69,71,is parent
69,71,is parent
70,72,is parent
71,73,is parent
71,73,is parent
72,69,is parent
73,74,is parent
73,75,is parent
74,75,is parent
75,76,is parent
76,77,is parent
77,78,is parent
78,79,is parent
78,79,is parent
79,80,is parent
80,81,is parent
81,82,is parent
81,82,is parent
82,83,is parent
83,84,is parent
84,85,is parent
84,86,is parent
85,87,is parent
86,88,is parent
87,86,is parent
88,89,is parent
89,90,is parent
90,91,is parent
91,92,is parent
91,93,is parent
92,94,is parent
93,95,is parent
93,96,is parent
94,97,is parent
95,98,is parent
96,99,is parent
96,99,is parent
96,99,is parent
97,93,is parent
98,96,is parent
99,100,is parent
99,100,is parent
100,101,is parent
101,102,is parent
103,104,is parent
104,105,is parent
105,106,is parent
105,106,is parent
106,107,is parent
106,107,is parent
107,108,is parent
108,109,is parent
109,110,is parent
111,112,is parent
112,113,is parent
113,114,is parent
113,114,is parent
114,115,is parent
114,115,is parent
114,116,is parent
115,117,is parent
116,118,is parent
117,116,is parent
118,119,is parent
119,120,is parent
120,121,is parent
123,124,is parent
123,125,is parent
126,127,is parent
127,128,is parent
128,129,is parent
128,130,is parent
128,130,is parent
129,130,is parent
130,131,is parent
132,133,is parent
133,134,is parent
134,135,is parent
135,136,is parent
136,137,is parent
137,138,is parent
137,139,is parent
138,140,is parent
139,141,is parent
139,142,is parent
140,143,is parent
141,144,is parent
142,145,is parent
142,146,is parent
143,139,is parent
144,147,is parent
145,148,is parent
146,149,is parent
146,150,is parent
147,151,is parent
148,152,is parent
149,153,is parent
150,154,is parent
151,142,is parent
152,155,is parent
153,150,is parent
154,156,is parent
155,157,is parent
156,158,is parent
157,146,is parent
158,159,is parent
159,160,is parent
160,161,is parent
161,162,is parent
162,163,is parent
162,164,is parent
163,164,is parent
164,165,is parent
164,165,is parent
165,166,is parent
166,167,is parent
167,168,is parent
168,169,is parent
169,170,is parent
170,171,is parent
171,172,is parent
171,172,is parent
172,173,is parent
173,174,is parent
174,175,is parent
175,176,is parent
176,177,is parent
177,178,is parent
178,179,is parent
179,180,is parent
180,181,is parent
181,182,is parent
183,184,is parent
185,186,is parent
186,187,is parent
187,188,is parent
187,189,is parent
188,189,is parent
189,190,is parent
189,191,is parent
190,192,is parent
192,193,is parent
193,194,is parent
195,196,is parent
196,197,is parent
197,198,is parent
198,199,is parent
198,200,is parent
199,200,is parent
200,201,is parent
200,202,is parent
201,202,is parent
202,203,is parent
202,204,is parent
203,205,is parent
204,206,is parent
204,207,is parent
205,208,is parent
206,209,is parent
207,210,is parent
208,211,is parent
209,212,is parent
210,213,is parent
211,204,is parent
212,207,is parent
213,214,is parent
214,215,is parent
215,216,is parent
216,217,is parent
217,218,is parent
218,219,is parent
219,220,is parent
220,221,is parent
220,221,is parent
221,222,is parent
222,223,is parent
223,224,is parent
224,225,is parent
225,226,is parent
226,227,is parent
227,228,is parent
228,229,is parent
229,230,is parent
230,231,is parent
231,232,is parent
232,233,is parent
234,235,is parent
234,235,is parent
235,236,is parent
235,236,is parent
235,236,is parent
235,236,is parent
236,237,is parent
237,238,is parent
238,239,is parent
238,240,is parent
238,241,is parent
238,242,is parent
238,243,is parent
244,245,is parent
244,246,is parent
245,246,is parent
246,247,is parent
247,248,is parent
249,250,is parent
249,251,is parent
253,254,is parent
253,255,is parent
256,257,is parent
256,257,is parent
257,258,is parent
257,258,is parent
258,259,is parent
258,259,is parent
259,260,is parent
260,261,is parent
261,262,is parent
263,264,is parent
265,266,is parent
267,268,is parent
268,269,is parent
268,270,is parent
271,272,is parent
273,274,is parent
273,274,is parent
274,275,is parent
275,276,is parent
275,276,is parent
276,277,is parent
277,278,is parent
278,279,is parent
280,281,is parent
281,282,is parent
282,283,is parent
282,284,is parent
283,284,is parent
284,285,is parent
284,285,is parent
285,286,is parent
285,286,is parent
287,288,is parent
290,291,is parent
292,293,is parent
295,296,is parent
297,298,is parent
304,305,is parent
304,305,is parent
306,307,is parent
307,308,is parent
308,309,is parent
309,310,is parent
310,311,is parent
311,312,is parent
312,313,is parent
313,314,is parent
314,315,is parent
316,317,is parent
317,318,is parent
318,319,is parent
318,319,is parent
319,320,is parent
321,322,is parent
322,323,is parent
323,324,is parent
324,325,is parent
325,326,is parent
326,327,is parent
327,328,is parent
327,329,is parent
328,330,is parent
329,331,is parent
329,332,is parent
330,329,is parent
331,332,is parent
332,333,is parent
332,333,is parent
333,334,is parent
333,334,is parent
334,335,is parent
335,336,is parent
